date,open,close,high,low,volume
2024-01-02,4.97,4.99,5.0,4.9,72084.4
2024-01-03,4.98,4.98,4.99,4.91,52525.0
2024-01-04,4.97,4.97,4.98,4.91,59683.0
2024-01-05,4.96,4.92,4.99,4.88,60245.0
2024-01-08,4.89,4.83,4.9,4.83,59278.95
2024-01-09,4.83,4.86,4.9,4.8,53589.0
2024-01-10,4.84,4.87,4.89,4.79,52023.65
2024-01-11,4.89,4.95,4.97,4.84,48465.0
2024-01-12,4.94,4.97,5.0,4.91,81236.4
2024-01-15,4.99,4.99,5.0,4.92,55646.0
2024-01-16,4.98,5.01,5.04,4.95,67150.9
2024-01-17,5.01,4.95,5.05,4.94,53225.0
2024-01-18,4.92,4.85,4.92,4.73,93505.0
2024-01-19,4.85,4.82,4.94,4.81,55344.6
2024-01-22,4.83,4.54,4.83,4.5,99116.35
2024-01-23,4.53,4.51,4.56,4.32,108687.6
2024-01-24,4.54,4.59,4.65,4.42,94880.42
2024-01-25,4.74,4.89,4.89,4.71,187105.19
2024-01-26,4.88,4.82,4.92,4.8,108952.8
2024-01-29,4.83,4.73,4.86,4.69,91793.0
2024-01-30,4.73,4.6,4.77,4.59,77842.4
2024-01-31,4.58,4.38,4.61,4.36,96211.5
2024-02-01,4.35,4.29,4.39,4.19,121830.49
2024-02-02,4.28,4.05,4.31,3.88,151413.25
2024-02-05,4.04,3.7,4.05,3.65,192019.65
2024-02-06,3.61,3.79,3.89,3.44,190599.81
2024-02-07,3.8,3.73,3.85,3.68,151206.95
2024-02-08,3.76,4.1,4.11,3.69,216134.06
2024-02-19,4.09,4.28,4.3,4.04,148558.18
2024-02-20,4.25,4.22,4.26,4.14,101406.04
2024-02-21,4.2,4.28,4.39,4.1,103297.5
2024-02-22,4.27,4.3,4.36,4.22,63803.75
2024-02-23,4.3,4.4,4.41,4.27,92191.95
2024-02-26,4.41,4.46,4.53,4.38,104060.5
2024-02-27,4.47,4.54,4.55,4.39,70956.74
2024-02-28,4.56,4.27,4.66,4.25,138330.24
2024-02-29,4.22,4.38,4.39,4.18,96906.51
2024-03-01,4.39,4.41,4.45,4.32,93526.0
2024-03-04,4.41,4.4,4.44,4.29,84191.85
2024-03-05,4.38,4.29,4.38,4.28,70047.15
2024-03-06,4.31,4.34,4.36,4.25,54937.9
2024-03-07,4.38,4.35,4.52,4.35,86595.95
2024-03-08,4.36,4.32,4.38,4.28,59340.25
2024-03-11,4.32,4.47,4.47,4.31,76173.55
2024-03-12,4.47,4.48,4.52,4.41,43384.8
2024-03-13,4.51,4.51,4.53,4.44,48962.75
2024-03-14,4.5,4.52,4.57,4.45,62368.9
