date,open,close,high,low,volume
2019-01-02,4176.1098,4131.9567,4179.7233,4125.9356,47494449.0
2019-01-03,4131.6949,4112.807,4182.1983,4110.527,55491244.0
2019-01-04,4075.6217,4210.8786,4210.8786,4071.6898,73448737.0
2019-01-07,4235.0346,4288.3234,4297.0238,4223.4585,81153450.0
2019-01-08,4278.2802,4277.2967,4289.6278,4264.6001,69556937.0
2019-01-09,4286.231,4288.7717,4354.1986,4280.6556,85153595.0
2019-01-10,4289.5591,4281.8606,4319.4941,4274.1955,68910889.0
2019-01-11,4282.3935,4314.8757,4316.5413,4267.2889,68355085.0
2019-01-14,4317.5239,4286.5474,4325.9474,4278.761,67679614.0
2019-01-15,4282.9863,4347.3555,4350.9338,4271.6362,72005181.0
2019-01-16,4347.0758,4336.8779,4364.0963,4330.7437,69274744.0
2019-01-17,4334.6309,4303.7308,4347.1786,4297.6681,74562113.0
2019-01-18,4307.1386,4347.8112,4351.4382,4297.4773,83371611.0
2019-01-21,4354.6997,4373.6333,4395.0631,4352.8102,72781531.0
2019-01-22,4370.8568,4308.2518,4370.8568,4291.9624,69496672.0
2019-01-23,4298.938,4315.6846,4322.8895,4292.0872,58485735.0
2019-01-24,4318.7091,4338.17,4363.2181,4292.8296,70630305.0
2019-01-25,4341.4133,4318.4417,4359.4637,4315.9525,71657478.0
2019-01-28,4341.4922,4307.2196,4370.898,4297.9632,67279935.0
2019-01-29,4301.4692,4254.2875,4301.4692,4188.594,77753727.0
2019-01-30,4235.2746,4211.6235,4266.8811,4211.1908,58513770.0
2019-01-31,4203.9772,4176.4739,4240.7162,4151.414,71511205.0
2019-02-01,4189.1098,4294.2696,4295.0379,4189.1098,66099677.0
2019-02-11,4306.2006,4402.8668,4403.7282,4306.2006,75297356.0
2019-02-12,4398.4427,4439.485,4452.5007,4394.8339,85271156.0
2019-02-13,4442.7279,4512.4088,4526.2699,4433.0271,113218903.0
2019-02-14,4507.8406,4532.1699,4555.2331,4494.5521,94828533.0
2019-02-15,4523.9449,4502.7348,4544.3864,4497.3858,93511607.0
2019-02-18,4527.9685,4660.999,4660.999,4527.9685,124124004.0
2019-02-19,4683.3252,4667.2836,4706.5253,4614.2779,143874768.0
2019-02-20,4667.3534,4667.6243,4677.9779,4619.46,120213129.0
2019-02-21,4666.2814,4659.1431,4750.418,4643.1096,145951113.0
2019-02-22,4651.538,4777.2977,4777.2977,4649.2158,146166142.0
2019-02-25,4840.5434,5044.3466,5045.0755,4835.4825,241783579.0
2019-02-26,5059.284,5038.5435,5149.6229,5004.552,262833265.0
2019-02-27,5027.3875,5017.8842,5093.7952,4964.623,208854087.0
2019-02-28,5017.4403,5025.2913,5072.6687,4994.0501,156042877.0
2019-03-01,5047.2277,5067.225,5067.3068,4984.993,149828330.0
2019-03-04,5112.9515,5158.2467,5253.388,5108.2823,232446864.0
2019-03-05,5146.6204,5295.2878,5295.2878,5125.154,206891261.0
2019-03-06,5328.1279,5390.0294,5395.554,5256.7934,264964318.0
2019-03-07,5381.2266,5458.6153,5512.6438,5353.5735,266967220.0
2019-03-08,5340.1057,5245.6999,5480.1728,5245.5313,285680249.0
2019-03-11,5279.7507,5456.381,5456.4199,5272.1903,214252213.0
2019-03-12,5500.9359,5551.0029,5591.6863,5458.7596,249333993.0
2019-03-13,5557.1556,5424.8642,5557.1556,5388.2464,224349236.0
2019-03-14,5381.11,5298.5024,5432.5207,5236.7529,178608679.0
2019-03-15,5328.8085,5359.0087,5418.3293,5308.0621,152846465.0
2019-03-18,5387.3756,5501.183,5501.183,5333.2557,172655255.0
2019-03-19,5505.6985,5522.1801,5555.1227,5486.7986,166713931.0
2019-03-20,5518.3087,5515.7856,5533.0525,5415.7549,176820735.0
2019-03-21,5525.9922,5589.478,5634.6618,5513.392,207150045.0
2019-03-22,5591.0427,5622.1402,5625.095,5505.8058,181954823.0
2019-03-25,5521.251,5549.6711,5629.2277,5507.3576,178432937.0
2019-03-26,5571.5251,5394.8787,5589.4127,5380.8535,176164730.0
2019-03-27,5431.9779,5447.8795,5447.8795,5333.7848,144956608.0
2019-03-28,5432.9438,5370.1234,5487.7654,5370.1234,149261082.0
2019-03-29,5370.4209,5547.6561,5550.7601,5346.2139,178333017.0
2019-04-01,5591.6651,5757.8379,5763.5806,5591.6651,221181631.0
2019-04-02,5794.7878,5775.5497,5833.0223,5750.3296,228750284.0
2019-04-03,5744.2215,5836.0369,5843.468,5724.1257,199104763.0
2019-04-04,5868.3919,5871.5575,5894.9882,5813.4624,208834859.0
2019-04-08,5921.2105,5847.6296,5939.4979,5765.9069,238317466.0
2019-04-09,5834.29,5858.0464,5877.84,5798.3736,179363502.0
2019-04-10,5826.0258,5850.7609,5906.4273,5782.3689,178753607.0
2019-04-11,5852.636,5727.1749,5866.9221,5720.5516,165876073.0
2019-04-12,5720.0481,5714.3676,5749.3368,5673.7447,140078341.0
2019-04-15,5795.5011,5655.9825,5815.3916,5654.3441,157754136.0
2019-04-16,5625.1221,5777.0111,5777.0111,5583.6142,156029632.0
2019-04-17,5776.6352,5807.7288,5840.6249,5757.9952,169800155.0
2019-04-18,5804.3014,5775.171,5826.6736,5762.5678,151322505.0
2019-04-19,5762.5009,5810.1798,5810.1798,5710.7953,148724289.0
2019-04-22,5821.0229,5723.0417,5824.5207,5704.9769,158161026.0
2019-04-23,5710.7334,5628.0624,5710.7334,5610.7353,149871461.0
2019-04-24,5636.4016,5679.7256,5682.4788,5568.408,134784412.0
2019-04-25,5652.0056,5458.4194,5662.7898,5457.8254,151401718.0
2019-04-26,5427.6228,5408.0306,5496.0353,5407.1942,124279880.0
2019-04-29,5405.1641,5265.6011,5421.6568,5252.0486,138672387.0
2019-04-30,5244.0447,5307.56,5349.9438,5244.0447,102190340.0
2019-05-06,5122.4696,4908.7984,5125.1616,4874.6433,143386233.0
2019-05-07,4933.0425,4973.4043,4990.1939,4886.0568,116573687.0
2019-05-08,4865.7878,4947.7419,5028.526,4842.5603,107738121.0
2019-05-09,4897.9781,4888.4128,4955.7835,4879.6945,90934656.0
2019-05-10,4940.4814,5064.323,5064.323,4842.6072,122177483.0
2019-05-13,5009.4748,5005.9044,5040.5037,4985.1882,91736394.0
2019-05-14,4942.3937,4965.6124,5018.4131,4941.9271,87540969.0
2019-05-15,5002.6051,5076.555,5086.7298,4999.3368,97463860.0
2019-05-16,5071.1085,5108.3588,5118.4448,5059.2068,104422166.0
2019-05-17,5112.2411,4942.5792,5116.9934,4923.6727,119071213.0
2019-05-20,4937.1767,4923.5589,4947.7455,4835.8087,95686497.0
2019-05-21,4917.3424,5009.8725,5026.2842,4904.8232,100837073.0
2019-05-22,5002.1602,4976.3929,5018.1092,4941.0098,94092709.0
2019-05-23,4955.2522,4872.9202,4957.9863,4860.1881,90563681.0
2019-05-24,4848.5757,4841.7573,4892.4587,4831.3352,77933436.0
2019-05-27,4848.6417,4962.947,4974.2676,4824.142,93076414.0
2019-05-28,4965.5908,4955.4855,5002.2491,4933.8967,90263989.0
2019-05-29,4943.5678,4956.8638,4992.9887,4930.4307,85876852.0
2019-05-30,4933.5006,4926.403,4933.8544,4865.7753,94779602.0
2019-05-31,4923.9199,4912.0005,4969.0513,4902.7379,86716729.0
2019-06-03,4921.7084,4853.8153,4942.0652,4838.3523,98540830.0
2019-06-04,4847.6634,4795.4129,4853.8105,4768.0393,86751653.0
2019-06-05,4837.895,4783.8245,4850.8038,4777.9781,81300165.0
2019-06-06,4776.4896,4678.7844,4776.6879,4668.5413,83416931.0
2019-06-10,4693.7633,4725.2643,4750.5423,4662.7808,73361381.0
2019-06-11,4730.8093,4901.4723,4903.8673,4728.4832,116811446.0
2019-06-12,4889.3606,4863.4922,4917.0919,4852.9834,107847561.0
2019-06-13,4855.5398,4877.6505,4892.5811,4831.5194,96172538.0
2019-06-14,4880.2264,4795.5267,4893.9284,4786.195,102803894.0
2019-06-17,4796.1203,4802.8185,4826.5959,4779.6429,73361138.0
2019-06-18,4804.3018,4797.1468,4825.6252,4773.5495,66523897.0
2019-06-19,4902.9598,4858.9164,4931.1098,4856.9033,98274376.0
2019-06-20,4853.2088,4954.7338,4987.5951,4837.1763,119695961.0
2019-06-21,4973.5853,5021.3051,5045.7149,4973.5853,122814214.0
2019-06-24,5032.3746,5024.2046,5038.4798,4996.1699,99620157.0
2019-06-25,5020.2009,4974.9882,5020.2009,4910.1971,99202180.0
2019-06-26,4943.7751,4962.5936,4991.1275,4928.733,70035687.0
2019-06-27,4974.9859,5007.4833,5030.3718,4972.6702,81631266.0
2019-06-28,5005.1921,4950.4798,5005.1921,4920.4349,77164628.0
2019-07-01,5044.6638,5100.2619,5100.2619,5016.2363,111630214.0
2019-07-02,5092.8418,5084.41,5102.4091,5066.2507,97080637.0
2019-07-03,5074.7097,5040.7227,5074.7097,5021.8958,85358589.0
2019-07-04,5046.883,5025.0207,5067.997,5002.3322,80147189.0
2019-07-05,5026.3316,5042.6599,5055.0145,5001.5234,64904141.0
2019-07-08,5028.6349,4870.7807,5028.6349,4855.2148,91766077.0
2019-07-09,4868.475,4881.6235,4892.5583,4838.9366,61012512.0
2019-07-10,4891.9111,4843.8649,4896.0413,4829.2848,60795192.0
2019-07-11,4867.6825,4844.5474,4905.1604,4821.5516,62628484.0
2019-07-12,4848.222,4861.5679,4874.3204,4820.6635,61479398.0
2019-07-15,4850.8904,4925.3243,4951.6237,4787.9062,84594481.0
2019-07-16,4917.7931,4932.0458,4940.2313,4909.6633,68924962.0
2019-07-17,4930.6466,4929.085,4953.4093,4914.4924,75361088.0
2019-07-18,4909.7172,4844.1087,4909.7172,4843.5134,72636158.0
2019-07-19,4861.2125,4878.6903,4920.4135,4861.2031,68597298.0
2019-07-22,4885.4293,4776.5749,4886.402,4766.0716,72191578.0
2019-07-23,4778.0529,4823.9182,4823.9182,4778.0529,54729263.0
2019-07-24,4837.7669,4873.0271,4898.8054,4837.7669,69451383.0
2019-07-25,4873.1742,4891.6432,4899.715,4861.7715,67384418.0
2019-07-26,4880.7194,4898.1099,4902.0916,4868.197,59252777.0
2019-07-29,4897.6519,4897.0183,4914.48,4872.545,56581521.0
